aX,aY,aZ,gX,gY,gZ
-1.552,-1.277,1.614,-10.376,143.066,73.120
-1.576,-1.147,1.606,-24.902,122.437,42.664
-1.539,-1.010,1.528,-41.077,100.220,14.343
-1.493,-0.909,1.455,-54.504,76.477,-5.676
-1.467,-0.851,1.372,-60.791,52.917,-14.526
-1.427,-0.852,1.305,-57.922,33.081,-12.878
-1.414,-0.863,1.271,-47.424,15.198,-5.432
-1.380,-0.896,1.266,-32.288,-0.977,5.249
-1.386,-0.944,1.266,-16.174,-13.916,14.893
-1.386,-0.944,1.242,-3.174,-22.095,16.052
-1.336,-0.906,1.178,5.615,-25.391,11.169
-1.272,-0.832,1.097,9.033,-27.832,2.441
-1.199,-0.759,1.001,8.118,-30.090,-6.531
-1.123,-0.699,0.910,4.578,-32.471,-15.686
-1.035,-0.656,0.825,-1.892,-34.546,-24.414
-0.963,-0.614,0.765,-10.864,-35.889,-32.471
-0.905,-0.569,0.716,-20.386,-35.095,-39.551
-0.864,-0.524,0.685,-29.968,-33.142,-44.739

-0.524,-1.905,-0.391,-95.825,73.242,2.014
-0.478,-2.010,-0.453,-91.858,73.975,-13.123
-0.449,-2.085,-0.499,-80.750,72.754,-32.532
-0.419,-2.097,-0.516,-58.594,68.665,-49.011
-0.389,-2.067,-0.541,-26.611,65.796,-56.580
-0.362,-1.994,-0.585,7.202,68.176,-55.237
-0.267,-1.941,-0.631,42.603,77.087,-48.828
-0.178,-1.931,-0.609,74.585,87.524,-42.542
-0.073,-1.910,-0.553,99.854,102.417,-40.222
0.033,-1.838,-0.419,119.019,120.850,-44.434
0.075,-1.704,-0.237,129.272,141.907,-56.824
0.083,-1.521,-0.036,131.042,166.748,-76.294
0.018,-1.329,0.181,127.502,189.636,-98.083
-0.078,-1.124,0.461,123.108,205.200,-117.004
-0.188,-0.921,0.782,123.413,214.294,-128.479
-0.289,-0.725,1.026,130.676,221.375,-129.578
-0.419,-0.508,1.312,141.296,222.595,-119.263
-0.553,-0.338,1.547,150.635,220.764,-101.929
-0.707,-0.167,1.792,153.503,218.140,-85.754
-0.879,-0.010,2.047,148.376,211.548,-76.965
-1.073,0.189,2.303,136.719,198.608,-73.242
-1.347,0.358,2.579,121.399,176.941,-69.763
-1.562,0.476,2.762,104.736,156.250,-65.369
-1.727,0.529,2.882,85.571,129.089,-58.411
-1.844,0.504,2.896,64.636,94.482,-52.612
-1.888,0.431,2.773,42.053,58.838,-47.791
-1.914,0.364,2.523,18.555,25.208,-47.852
-1.932,0.288,2.228,-1.526,-3.662,-50.232
-1.930,0.237,1.936,-18.127,-28.076,-50.659
-1.917,0.214,1.686,-29.114,-52.124,-48.096
-1.900,0.181,1.510,-33.997,-77.209,-41.077
-1.859,0.133,1.408,-34.729,-100.769,-29.907
-1.787,0.049,1.346,-32.227,-122.192,-16.602
-1.718,-0.041,1.295,-28.198,-137.146,-9.338
-1.641,-0.122,1.195,-24.353,-140.808,-9.338
-1.557,-0.189,1.045,-23.621,-139.343,-15.747
-1.451,-0.224,0.900,-25.879,-139.893,-26.001
-1.350,-0.211,0.780,-31.982,-146.667,-36.377
-1.256,-0.187,0.681,-40.527,-155.640,-44.373
-1.156,-0.167,0.567,-49.255,-164.734,-48.645
-1.031,-0.159,0.463,-56.519,-173.889,-50.415
-0.909,-0.141,0.369,-60.608,-183.350,-50.842
-0.797,-0.121,0.283,-61.218,-191.467,-50.171
-0.694,-0.101,0.186,-58.716,-196.655,-48.279
-0.600,-0.085,0.081,-52.734,-200.134,-45.105
-0.521,-0.068,-0.009,-44.434,-201.599,-39.856
-0.453,-0.061,-0.089,-35.400,-199.341,-33.508
-0.378,-0.054,-0.203,-26.367,-191.833,-26.733
-0.321,-0.049,-0.308,-18.433,-181.335,-19.897
-0.263,-0.046,-0.402,-11.047,-168.457,-13.245
-0.227,-0.048,-0.486,-4.578,-154.236,-6.775
-0.220,-0.044,-0.549,0.549,-138.977,0.244
-0.205,-0.043,-0.589,5.859,-122.131,7.751
-0.190,-0.054,-0.592,10.437,-107.605,14.404
-0.187,-0.074,-0.603,14.587,-96.619,20.081
-0.185,-0.080,-0.596,16.296,-89.478,23.499
-0.153,-0.087,-0.613,15.076,-84.717,23.804
-0.110,-0.088,-0.661,11.414,-79.529,20.386
-0.075,-0.084,-0.727,6.348,-74.341,15.930
-0.030,-0.089,-0.786,-0.488,-70.251,11.963
0.052,-0.089,-0.865,-6.897,-65.491,8.667
0.173,-0.084,-0.946,-11.230,-55.908,7.812
0.263,-0.066,-0.997,-15.625,-40.405,8.850
0.351,-0.034,-0.983,-21.179,-16.602,8.240
0.462,0.021,-0.960,-27.466,13.916,5.615
0.543,0.073,-0.925,-34.668,45.837,1.343
0.585,0.130,-0.862,-43.396,77.148,-2.380
0.624,0.208,-0.800,-52.673,108.215,-3.174
0.663,0.286,-0.730,-59.753,137.207,0.366
0.671,0.353,-0.644,-62.317,163.208,9.888
0.637,0.402,-0.534,-61.340,187.134,27.954
0.583,0.434,-0.405,-60.669,208.130,54.993
0.569,0.358,-0.281,-59.143,228.210,88.806
0.501,0.155,-0.114,-55.664,246.155,123.169
0.393,-0.120,0.075,-47.241,260.864,154.175
0.322,-0.422,0.236,-34.424,275.696,178.101
0.160,-0.717,0.393,-24.231,285.400,194.580
-0.011,-0.977,0.542,-18.738,283.752,196.960
-0.216,-1.140,0.730,-20.081,274.414,181.091
-0.490,-1.214,1.004,-27.588,260.254,155.212
-0.740,-1.284,1.268,-32.593,250.305,133.850
-0.936,-1.321,1.495,-36.255,242.737,115.967
-1.115,-1.301,1.713,-41.870,231.445,95.886
-1.304,-1.264,1.905,-47.974,214.355,72.754
-1.439,-1.203,2.005,-52.246,193.237,48.889
-1.497,-1.115,1.955,-54.382,168.335,28.381
-1.484,-1.056,1.807,-56.030,138.306,13.733
-1.425,-1.030,1.683,-57.678,106.506,5.554
-1.359,-1.048,1.557,-55.054,78.247,3.601
-1.317,-1.071,1.470,-47.607,51.697,8.484
-1.331,-1.094,1.465,-36.926,29.541,14.404
-1.336,-1.113,1.462,-25.024,17.273,16.235
-1.353,-1.097,1.438,-16.724,5.310,12.573
-1.327,-1.054,1.408,-15.198,-8.423,5.920
-1.269,-1.001,1.374,-17.761,-19.714,-3.479
-1.262,-0.898,1.313,-22.827,-26.794,-15.808
-1.154,-0.821,1.233,-27.588,-33.020,-23.499
-1.110,-0.757,1.154,-30.212,-38.818,-32.288
-1.070,-0.670,1.072,-30.884,-41.016,-38.391
-1.041,-0.608,1.002,-28.992,-41.992,-39.673
-1.001,-0.558,0.954,-23.865,-43.030,-36.560
-0.964,-0.526,0.898,-15.320,-42.114,-31.616
-0.931,-0.509,0.849,-6.409,-40.405,-25.879
-0.908,-0.498,0.807,0.854,-40.100,-20.813
-0.888,-0.494,0.775,5.493,-42.053,-16.846
-0.856,-0.514,0.752,7.935,-45.166,-14.832
-0.833,-0.531,0.726,9.521,-48.950,-15.259
-0.819,-0.516,0.699,11.475,-52.856,-17.639
-0.808,-0.487,0.671,12.878,-55.786,-19.775
-0.791,-0.456,0.649,13.367,-56.641,-20.874
-0.781,-0.441,0.634,13.611,-55.908,-21.179
-0.775,-0.437,0.611,13.733,-53.772,-21.301
-0.765,-0.437,0.576,13.306,-50.781,-22.156
-0.754,-0.429,0.543,11.719,-47.729,-24.048
-0.741,-0.406,0.510,9.277,-44.800,-26.611
-0.732,-0.379,0.477,6.775,-42.358,-29.114
-0.723,-0.354,0.451,4.395,-40.833,-30.762
-0.708,-0.326,0.423,2.502,-40.161,-31.311
-0.696,-0.299,0.391,0.977,-39.856,-30.884

-1.069,-0.939,1.080,-61.829,119.324,184.998
-1.218,-1.053,1.073,-73.486,99.365,161.011
-1.371,-1.122,1.023,-92.590,75.439,131.226
-1.319,-1.247,0.892,-115.540,51.514,108.459
-1.218,-1.399,0.795,-135.498,28.259,89.417
-1.099,-1.513,0.706,-147.644,10.498,71.533
-1.004,-1.580,0.654,-151.001,-1.770,57.068
-0.940,-1.622,0.621,-147.766,-8.972,45.715
-0.878,-1.644,0.569,-139.099,-11.536,36.804
-0.827,-1.657,0.519,-126.587,-11.169,29.663
-0.799,-1.691,0.472,-113.831,-7.935,22.278
-0.765,-1.750,0.410,-103.516,-1.709,13.611
-0.711,-1.801,0.335,-95.703,2.747,3.845
-0.630,-1.876,0.240,-87.036,5.615,-5.798
-0.542,-1.960,0.133,-76.416,5.310,-14.709
-0.464,-2.045,0.005,-63.721,1.892,-21.729
-0.318,-2.105,-0.140,-50.110,-4.517,-26.917
-0.182,-2.132,-0.289,-34.973,-5.859,-34.180
-0.051,-2.105,-0.427,-18.616,-2.991,-41.443
0.069,-2.054,-0.534,-1.892,3.967,-49.316
0.136,-1.995,-0.644,14.648,13.489,-58.105
0.184,-1.925,-0.735,31.128,26.917,-64.575
0.235,-1.859,-0.743,46.204,46.082,-68.604
0.238,-1.821,-0.666,57.922,71.960,-72.144
0.225,-1.795,-0.535,69.519,103.271,-75.745
0.185,-1.758,-0.354,83.740,134.155,-82.214
0.112,-1.693,-0.120,100.342,159.607,-90.881
0.027,-1.562,0.121,118.164,177.917,-99.976
-0.074,-1.358,0.363,134.216,188.110,-110.901
-0.175,-1.069,0.638,144.897,192.017,-123.169
-0.252,-0.749,0.883,151.917,196.045,-134.949
-0.432,-0.376,1.162,154.297,197.327,-143.005
-0.591,-0.042,1.475,155.151,198.425,-143.677
-0.782,0.253,1.822,154.175,195.618,-133.240
-0.981,0.446,2.123,152.710,187.805,-112.427
-1.143,0.528,2.357,149.231,174.194,-86.853
-1.335,0.518,2.581,138.611,148.071,-63.171
-1.553,0.482,2.677,122.681,120.544,-48.401
-1.759,0.461,2.671,100.525,90.210,-44.617
-1.910,0.443,2.611,72.693,60.608,-48.767
-1.967,0.414,2.506,45.471,33.020,-54.871
-2.020,0.387,2.386,24.719,7.324,-61.157
-2.021,0.351,2.271,10.132,-16.724,-63.904
-1.975,0.328,2.128,-0.610,-40.527,-60.974
-1.897,0.265,1.960,-9.033,-64.697,-54.810
-1.791,0.178,1.754,-15.930,-88.745,-46.997
-1.703,0.088,1.521,-21.362,-108.765,-39.429
-1.649,-0.006,1.282,-24.231,-124.695,-33.569
-1.583,-0.119,1.071,-25.391,-136.230,-29.541
-1.500,-0.233,0.911,-25.330,-145.874,-27.161
-1.407,-0.309,0.790,-23.499,-154.114,-28.748
-1.304,-0.341,0.705,-21.667,-160.278,-35.278
-1.202,-0.327,0.628,-21.362,-165.466,-44.922
-1.100,-0.294,0.563,-22.705,-171.387,-54.443
-0.999,-0.251,0.496,-24.902,-178.162,-62.500
-0.892,-0.204,0.422,-27.405,-185.608,-67.444
-0.792,-0.162,0.331,-29.724,-192.017,-70.129
